case_id,nama_file_asli,no_perkara,pengadilan,jenis_perkara,tanggal_putusan,file_pdf,file_txt,status_ekstraksi,jumlah_halaman,jumlah_kata
case_025,putusan_1800_pid.b_2024_pn_tng_20260626205941.pdf,1800/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_025.pdf,data/raw/text/case_025.txt,berhasil,22,6640
case_026,putusan_1818_pid.b_2024_pn_tng_20260626205707.pdf,1818/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,"14
Januari 2025",data/raw/pdf/case_026.pdf,data/raw/text/case_026.txt,berhasil,32,9991
case_027,putusan_1821_pid.b_2024_pn_tng_20260626210125.pdf,1821/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_027.pdf,data/raw/text/case_027.txt,berhasil,10,2628
case_028,putusan_1841_pid.b_2024_pn_tng_20260626205638.pdf,1841/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_028.pdf,data/raw/text/case_028.txt,berhasil,25,8342
case_029,putusan_1842_pid.b_2024_pn_tng_20260626205453.pdf,1842/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_029.pdf,data/raw/text/case_029.txt,berhasil,26,8380
case_030,putusan_1869_pid.b_2024_pn_tng_20260626205200.pdf,1869/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_030.pdf,data/raw/text/case_030.txt,berhasil,18,5276
case_031,putusan_1874_pid.b_2025_pn_tng_20260626210529.pdf,1874/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_031.pdf,data/raw/text/case_031.txt,berhasil,22,7573
case_032,putusan_1892_pid.b_2024_pn_tng_20260626205418.pdf,1892/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_032.pdf,data/raw/text/case_032.txt,berhasil,18,5399
case_033,putusan_1912_pid.b_2024_pn_tng_20260626204809.pdf,1912/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_033.pdf,data/raw/text/case_033.txt,berhasil,23,6864
case_034,putusan_1936_pid.b_2024_pn_tng_20260626210023.pdf,1936/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_034.pdf,data/raw/text/case_034.txt,berhasil,19,5867
case_035,putusan_1942_pid.b_2025_pn_tng_20260626210510.pdf,1942/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_035.pdf,data/raw/text/case_035.txt,berhasil,18,5582
case_036,putusan_1960_pid.b_2025_pn_tng_20260626210610.pdf,1960/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_036.pdf,data/raw/text/case_036.txt,berhasil,23,7244
case_037,putusan_1982_pid.b_2024_pn_tng_20260626205956.pdf,1982/Pid.B/2024/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_037.pdf,data/raw/text/case_037.txt,berhasil,23,7425
case_038,putusan_465_pid.b_2026_pn_tng_20260626210933.pdf,465/Pid.B/2026/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_038.pdf,data/raw/text/case_038.txt,berhasil,16,4522
case_039,putusan_471_pid.b_2026_pn_tng_20260626210856.pdf,471/Pid.B/2026/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,"12 Mei
2026",data/raw/pdf/case_039.pdf,data/raw/text/case_039.txt,berhasil,20,6342
case_040,putusan_517_pid.b_2026_pn_tng_20260626210800.pdf,617/Pid.B/2026/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_040.pdf,data/raw/text/case_040.txt,berhasil,16,4874
